"id","district_id","locale","created_at","updated_at","name"
468,468,"da","2018-01-30 11:29:57.51806","2018-08-29 15:38:20.732143","FR - Vin de Pays"
620,620,"da","2018-08-30 07:34:04.837587","2018-08-30 07:34:04.837587","CH - Aargau"
621,621,"da","2018-08-30 07:34:12.955684","2018-08-30 07:34:12.955684","CH - Geneva"
629,629,"da","2018-08-30 07:35:24.3848","2018-08-30 07:35:24.3848","CH - Vaud"
630,630,"da","2018-08-30 07:35:33.364706","2018-08-30 07:35:33.364706","CH - Zurcher Weinland"
487,487,"da","2018-03-08 18:18:59.981703","2018-08-29 11:48:40.864656","AT - Niederösterreich"
485,485,"da","2018-03-08 15:18:14.427629","2018-08-29 11:17:04.193748","IT - Abruzzo"
484,484,"da","2018-03-08 15:18:13.940907","2018-08-29 11:29:26.722713","FR - Vin de France"
506,506,"da","2018-08-08 11:33:43.996762","2018-08-29 11:37:17.31405","AU - Victoria"
469,469,"da","2018-01-31 09:14:43.905468","2018-08-29 11:37:28.685974","IT - Umbria"
490,490,"da","2018-03-08 18:19:01.771775","2018-08-29 11:38:42.466134","AT - Wagram"
428,428,"da","2017-11-30 14:42:15.450841","2018-08-29 11:46:25.422159","US - Oregon"
410,410,"da","2017-11-21 15:54:57.086823","2018-08-29 11:52:05.343093","IT - Molise"
419,419,"da","2017-11-28 12:48:20.991559","2018-08-29 11:52:22.909406","AR - Mendoza"
446,446,"da","2017-12-12 10:10:49.868791","2018-08-29 11:56:19.415713","IT - Marche"
515,515,"da","2018-08-20 08:15:12.793528","2018-08-29 11:59:54.033888","IT - Friuli-Venezia Giulia"
436,436,"da","2017-12-07 15:59:39.869815","2018-08-29 12:03:14.375027","CL - Colchagua Valley"
511,511,"da","2018-08-15 15:11:24.66332","2018-08-29 12:07:32.589475","NZ - Auckland"
489,489,"da","2018-03-08 18:19:01.322236","2018-08-29 12:07:45.293839","DE - Baden"
120,120,"da","2017-03-01 11:05:26.368409","2018-08-29 12:09:14.267919","FR - Beaujolais"
486,486,"da","2018-03-08 15:18:14.598718","2018-08-29 12:13:17.278916","IT - Campania"
