Id,Name,ProducerId,Appellation,Country,Region,WineType,PRODUCER_SALESFORCE_ID
6997,"Barolo ""Neirane""",2872,,Italy,Piemonte,Red wine,a0F1X0000005aByUAI
7000,"Gattinara ""Osso San Grato""",2875,,Italy,Piemonte,Red wine,a0F1X0000005a9fUAA
7022,"Saint Joseph Rouge ""Le Paradis Saint Pierre""",2883,,France,Rhone,Red wine,a0F1X0000005aNiUAI
1292,Les Allées de Cantemerle,247,Haut-Medoc,France,Bordeaux,Red wine,a0F1X0000005aFuUAI
7024,Landiras,2884,,France,Bordeaux,Red wine,a0F1X0000005aH2UAI
1319,"Monthelie 1er Cru ""Les Champs Fulliots""",727,,France,Burgundy,Red wine,a0F1X0000005aR5UAI
7030,"Bramaterra ""Cascina Cottignano""",2885,,Italy,Piemonte,Red wine,a0F1X0000005aNBUAY
3118,Viura Cepas Viejas,1509,,Spain,Rioja,White wine,a0F1X0000005aXQUAY
9373,"Pinot Noir ""Sans Soufre""",3600,,United States,Oregon,Red wine,a0F1X0000005ahPUAQ
3136,"Brut ""Carte D'or""",3056,,France,Champagne,Sparkling wine,a0F1X0000005a8nUAA
7027,"Côte-Rôtie ""Brune et Blonde de Guigal""",346,,France,Rhone,Red wine,a0F1X0000005aWEUAY
7051,"Barolo ""Grinzane Cavour""",2888,,Italy,Piemonte,Red wine,a0F1X0000005aCuUAI
1324,"Pommard 1er Cru ""Clos Migot""",728,,France,Burgundy,Red wine,a0F1X0000005aSBUAY
1323,"Pommard 1er Cru ""Les Poutures""",728,,France,Burgundy,Red wine,a0F1X0000005aSBUAY
1330,"Volnay 1er Cru ""Clos des Chenes""",728,,France,Burgundy,Red wine,a0F1X0000005aSBUAY
1297,"Vosne-Romanée 1er Cru ""Les Malconsorts""",721,,France,Burgundy,Red wine,a0F1X0000005aRpUAI
1327,Pommard-Saussilles 1er Cru,729,,France,Burgundy,Red wine,a0F1X0000005aU2UAI
10195,"Cinsaut ""Morkel""",432,,South Africa,Western Cape,Red wine,a0F1X0000005aAbUAI
7029,"Cornas ""Terre Brulée""",498,,France,Rhone,Red wine,a0F1X0000005aTcUAI
7031,"Barolo ""Parussi""",1498,,Italy,Piemonte,Red wine,a0F1X0000005agjUAA
