Id	Name	ProducerId	Appellation	Country	Region	WineType
4536	Gevrey-Chambertin 1er Cru "Clos Saint Jacques"	2957		France	Burgundy	Red wine
212	Eugenio Bocchino	98		Italy	Piemonte	Red wine
6625	Octava Bassa	2735		Argentina	Mendoza	Red wine
9405	Barbaresco Riserva "Montefico"	578		Italy	Piemonte	Red wine
9079	l'Arrosée	3479		France	Bordeaux	Red wine
7630	Vosne-Romanée "Clos de la Fontaine"	2042		France	Burgundy	Red wine
152	Nuits-Saint-Georges "Les Argillats"	2552		France	Burgundy	Red wine
7983	Riesling "Bera Rottland"	2481		Germany	Rheingau	White wine
9313	Riesling "Dégustation"	3584		France	Alsace	White wine
1354	Barbaresco	354		Italy	Piemonte	Red wine
7640	Vintage Extra Brut "Les Vignes d'Autrefois - Deux Mille Dix"	2234		France	Champagne	Sparkling wine
1630	Mouton Cadet	853		France	Bordeaux	Red wine
4752	Maremma Toscana "Saffredi"	3239		Italy	Tuscany	Red wine
2826	Brunello di Montalcino Riserva	994		Italy	Tuscany	Red wine
2727	Nuits-Saint-Georges 1er Cru "Les Damodes"	1356		France	Burgundy	Red wine
6590	Syrah "Male"	2170		United States	California	Red wine
4373	Rosso	1996		Italy	Sicily	Red wine
4988	Vosne-Romanée "Clos des Réas"	1832		France	Burgundy	Red wine
9317	Campione Special Edition	3588		Italy	Emilia-Romagna	Red wine
9733	Chardonnay "Nancie"	3716		United States	California	White wine
10050	Chateauneuf-du-Pape "Promenade"	3835		France	Rhone	Red wine
1422	Chambolle-Musigny "Les Quarante Ouvrées"	767		France	Burgundy	Red wine
8242	Barbaresco "Gallina"	3234		Italy	Piemonte	Red wine
6985	Tinto "Meandro"	1812		Portugal	Douro	Red wine
3853	Corton Grand Cru "Le Rognet"	456		France	Burgundy	Red wine
7411	Labégorce	2963		France	Bordeaux	Red wine
7162	Sancerre "Domaine du Pre Semele"	2921		France	Loire	White wine
6274	Syrah "Ode to E"	2170		United States	California	Red wine
8268	Fumé de Pouilly Blanc "Buisson Renard"	2404		France	Loire	White wine
9540	Sauternes 2eme Cru Classé	3628		France	Sauternes	Sweet wine
10377	Riesling Auslese "Kallstadter Saumagen"	3940		Germany	Pfalz	White wine
9700	Bourgogne Blanc "Cuvée Latour"	123		France	Burgundy	White wine
10003	Portugieser	2625		Germany	Pfalz	Red wine
8253	Ruby Vintage Port "Quinta de Vargellas"	309		Portugal	Douro	Port
9691	Vintage "Special Club"	3693		France	Champagne	Sparkling wine
3568	Barolo Riserva	893		Italy	Piemonte	Red wine
6196	Bourgogne Blanc	2041		France	Burgundy	White wine
4589	Aalto	385		Spain	Castilla y León	Red wine
5575	Brunello di Montacino Riserva	2379		Italy	Tuscany	Red wine
5329	Alion	1901		Spain	Castilla y León	Red wine
3564	Sarmassa	1687		Italy	Piemonte	Red wine
4690	Merlot Reserva "Single Vineyard"	2120		Macedonia	Macedonia	Red wine
7722	Chassagne-Montrachet	1807		France	Burgundy	Red wine
4780	Barolo "Castellero"	2157		Italy	Piemonte	Red wine
9205	Barolo "Pressenda"	1555		Italy	Piemonte	Red wine
5831	Pinot Noir "Hélios"	1752		France	Alsace	Red wine
3162	Rouge "Green Label"	1541		France	Vin de France	Red wine
9514	Côte-Rôtie "Bassenon"	3622		France	Rhone	Red wine
928	Riesling Trocken "Hohen-Sülzen"	532		Germany	Rheinhessen	White wine
9623	Saumur Blanc	3656		France	Loire	White wine
9926	Coteaux d'Aix-en-Provence "Les Caillas"	3771		France	Provence	Red wine
10351	Gloria	42		France	Vin de France	White wine
3699	Malvasia Nera "Tiranno"	1642		Italy	Puglia	Red wine
866	Vintage Blanc de Blancs	491		France	Champagne	Sparkling wine
5626	Riesling "Cuvée Théo Faller"	2485		France	Alsace	Sweet wine
8643	Chambolle-Musigny 1er Cru "Les Hauts Doix"	874		France	Burgundy	Red wine
4156	Fixin "Les Clos"	1929		France	Burgundy	Red wine
3210	Bianco di Cerasa	1552		Italy	Sicily	White wine
5387	Meursault 1er Cru "Charmes"	1352		France	Burgundy	White wine
8599	Vintage "2000"	1325		France	Champagne	Sparkling wine
4998	Riesling Spätlese "Wehlener Sonnenuhr"	716		Germany	Mosel	White wine
2009	La Grave a Pomerol	3730		France	Bordeaux	Red wine
3085	Chianti Classico Riserva "Rancia"	1385		Italy	Tuscany	Red wine
9631	Mercurey 1er Cru "Clos Voyens"	3664		France	Burgundy	Red wine
10218	Blanc de Blancs Extra Brut "Les Enfers"	2378		France	Champagne	Sparkling wine
8237	Galatrona "Val d'Arno di Sopra"	1851		Italy	Tuscany	Red wine
8088	Gevrey-Chambertin "En Vosne - Vieilles Vignes"	2153		France	Burgundy	Red wine
7997	Vintage "Brut Nature - Philippe Starck"	428		France	Champagne	Sparkling wine
2001	Brut Blanc de Blanc Grand Cru "Tradition"	3054		France	Champagne	Sparkling wine
6666	Puligny-Montrachet	1168		France	Burgundy	White wine
8938	Extra Brut Rosé "l'R du Temps"	3442		France	Champagne	Sparkling wine
6952	Riesling GG "Uhlen L"	785		Germany	Mosel	White wine
3378	Le Pergole Torte	857		Italy	Tuscany	Red wine
1253	Yon-Figeac	698		France	Bordeaux	Red wine
9706	Puligny-Montrachet 1er Cru "Les Demoiselles"	3700		France	Burgundy	White wine
7557	Brut "Cuvée 733 DT"	756		France	Champagne	Sparkling wine
6327	Echezeaux Grand Cru	77		France	Burgundy	Red wine
4800	Ephata	2162		France	Loire	White wine
4142	Riesling Spätlese "Brauneberger Juffer"	1944		Germany	Mosel	White wine
4548	Vin Doux Naturel "Rivesaltes Ambré"	2055		France	Languedoc-Roussillon	Sweet wine
7153	Barolo "Boiolo"	2010		Italy	Piemonte	Red wine
3400	Bin 407	187		Australia	South Australia	Red wine
8735	Brut "La Croisette"	2359		France	Champagne	Sparkling wine
5872	Barsac	2476		France	Bordeaux	Sweet wine
8776	Brut Nature "La Rue des Noyers"	3398		France	Champagne	Sparkling wine
1415	Suolo	25		Italy	Tuscany	Red wine
5985	Tre Nasi Barolo	2209		Italy	Piemonte	Red wine
7239	Barolo	1018		Italy	Piemonte	Red wine
5507	Vintage Réserve	2359		France	Champagne	Sparkling wine
9915	Negroamaro Primitivo	3766		Italy	Puglia	Red wine
99	Riva Rocca	29		Italy	Piemonte	Red wine
7470	Gevrey-Chambertin	2210		France	Burgundy	Red wine
131	Vougeot 1er Cru "Les Cras"	51		France	Burgundy	Red wine
6744	Chianti Riserva "Selezione Vecchie Vigne - Podere Casaccia"	2764		Italy	Tuscany	Red wine
10039	Le Petit Cheval Blanc	1847		France	Bordeaux	Red wine
7393	Bonnes-Mares Grand Cru	2053		France	Burgundy	Red wine
7777	Riesling Auslese "Mehringer Blattenberg"	914		Germany	Mosel	White wine
4699	Crianza	2122		Spain	Rioja	Red wine
7448	Iris	2341		United States	Beer & Spirits	Others
2391	Barolo "Rocche di Castiglione"	122		Italy	Piemonte	Red wine
10212	L'Hermitage Blanc	1387		France	Rhone	White wine
2916	Riesling Kabinett "Graacher Himmelreich"	716		Germany	Mosel	White wine
1348	Colombier-Monpelou	733		France	Bordeaux	Red wine
3063	Brunello di Montalcino "Poggio alle Mura"	635		Italy	Tuscany	Red wine
7399	Savigny-Les-Beaune "Les Grands Picotins"	2978		France	Burgundy	Red wine
6603	Sequillo White	2725		South Africa	Western Cape	White wine
6076	Vosne-Romanée "Les Violettes"	1365		France	Burgundy	Red wine
